#YYYY MM DD HH MM P(mm) PET(mm)
2009  5  9 17 15 0.00000 0.09506
2009  5  9 17 30 0.00000 0.10347
2009  5  9 17 45 1.00000 0.11188
2009  5  9 18  0 0.09434 0.10307
2009  5  9 18 15 0.00000 0.09427
2009  5  9 18 30 0.00000 0.08546
2009  5  9 18 45 0.00000 0.07665
2009  5  9 19  0 0.00000 0.06878
2009  5  9 19 15 0.00000 0.06091
2009  5  9 19 30 0.00000 0.05304
2009  5  9 19 45 0.00000 0.04517
2009  5  9 20  0 0.00000 0.04562
2009  5  9 20 15 0.00000 0.04607
2009  5  9 20 30 0.00000 0.04651
2009  5  9 20 45 0.00000 0.04696
2009  5  9 21  0 0.00000 0.04629
2009  5  9 21 15 0.00000 0.04561
2009  5  9 21 30 0.00000 0.04494
2009  5  9 21 45 0.00000 0.04427
2009  5  9 22  0 0.00000 0.04181
2009  5  9 22 15 0.00000 0.03935
2009  5  9 22 30 0.00000 0.03689
2009  5  9 22 45 0.00000 0.03443
2009  5  9 23  0 0.00000 0.02840
2009  5  9 23 15 0.00000 0.02237
2009  5  9 23 30 0.00000 0.01634
2009  5  9 23 45 0.00000 0.01030
2009  5 10  0  0 0.00000 0.00793
2009  5 10  0 15 0.00000 0.00555
2009  5 10  0 30 0.00000 0.00318
2009  5 10  0 45 0.00000 0.00080
2009  5 10  1  0 0.00000 0.00060
2009  5 10  1 15 0.00000 0.00040
2009  5 10  1 30 0.00000 0.00020
2009  5 10  1 45 0.00000 0.00000
2009  5 10  2  0 0.00000 0.00000
2009  5 10  2 15 0.00000 0.00000
2009  5 10  2 30 0.00000 0.00000
2009  5 10  2 45 0.00000 0.00000
2009  5 10  3  0 0.00000 0.00000
2009  5 10  3 15 0.00000 0.00000
2009  5 10  3 30 0.00000 0.00000
2009  5 10  3 45 0.00000 0.00000
2009  5 10  4  0 0.00000 0.00000
2009  5 10  4 15 0.00000 0.00000
2009  5 10  4 30 0.00000 0.00000
2009  5 10  4 45 0.00000 0.00000
2009  5 10  5  0 0.00000 0.00000
2009  5 10  5 15 0.00000 0.00000
2009  5 10  5 30 0.00000 0.00000
2009  5 10  5 45 0.00000 0.00000
2009  5 10  6  0 0.00000 0.00000
2009  5 10  6 15 0.00000 0.00000
2009  5 10  6 30 0.00000 0.00000
2009  5 10  6 45 0.00000 0.00000
2009  5 10  7  0 0.00000 0.00000
2009  5 10  7 15 0.00000 0.00000
2009  5 10  7 30 0.00000 0.00000
2009  5 10  7 45 0.00000 0.00000
2009  5 10  8  0 0.00000 0.00000
2009  5 10  8 15 0.00000 0.00000
2009  5 10  8 30 0.00000 0.00000
2009  5 10  8 45 0.05660 0.00000
2009  5 10  9  0 0.00000 0.00000
2009  5 10  9 15 0.00000 0.00000
2009  5 10  9 30 0.00000 0.00000
2009  5 10  9 45 0.00000 0.00000
2009  5 10 10  0 0.00000 0.00000
2009  5 10 10 15 0.00000 0.00000
2009  5 10 10 30 0.00000 0.00000
2009  5 10 10 45 0.00000 0.00000
2009  5 10 11  0 0.00000 0.00002
2009  5 10 11 15 0.00000 0.00004
2009  5 10 11 30 0.00000 0.00006
2009  5 10 11 45 0.00000 0.00007
2009  5 10 12  0 0.00000 0.00214
2009  5 10 12 15 0.00000 0.00421
2009  5 10 12 30 0.00000 0.00628
2009  5 10 12 45 0.00000 0.00835
2009  5 10 13  0 0.00000 0.01548
2009  5 10 13 15 0.00000 0.02260
2009  5 10 13 30 0.00000 0.02972
2009  5 10 13 45 0.00000 0.03684
2009  5 10 14  0 0.00000 0.03898
2009  5 10 14 15 0.00000 0.04112
2009  5 10 14 30 0.00000 0.04326
2009  5 10 14 45 0.00000 0.04540
2009  5 10 15  0 0.00000 0.04683
2009  5 10 15 15 0.00000 0.04826
2009  5 10 15 30 0.05660 0.04968
2009  5 10 15 45 0.77358 0.05111
2009  5 10 16  0 0.67925 0.04323
2009  5 10 16 15 0.00000 0.03535
2009  5 10 16 30 0.00000 0.02748
2009  5 10 16 45 0.00000 0.01960
2009  5 10 17  0 0.00000 0.02700
2009  5 10 17 15 0.00000 0.03440
2009  5 10 17 30 0.00000 0.04180
2009  5 10 17 45 0.00000 0.04920
2009  5 10 18  0 0.00000 0.04938
2009  5 10 18 15 0.00000 0.04956
2009  5 10 18 30 0.00000 0.04974
2009  5 10 18 45 0.00000 0.04992
2009  5 10 19  0 0.00000 0.07907
2009  5 10 19 15 0.00000 0.10821
2009  5 10 19 30 0.00000 0.13735
2009  5 10 19 45 0.00000 0.16650
2009  5 10 20  0 0.00000 0.15782
2009  5 10 20 15 0.00000 0.14914
2009  5 10 20 30 0.00000 0.14046
2009  5 10 20 45 0.00000 0.13178
2009  5 10 21  0 0.00000 0.11228
2009  5 10 21 15 0.00000 0.09278
2009  5 10 21 30 0.00000 0.07328
2009  5 10 21 45 0.00000 0.05377
2009  5 10 22  0 0.00000 0.05140
2009  5 10 22 15 0.00000 0.04903
2009  5 10 22 30 0.00000 0.04666
2009  5 10 22 45 0.00000 0.04429
2009  5 10 23  0 0.00000 0.03852
2009  5 10 23 15 0.00000 0.03274
2009  5 10 23 30 0.00000 0.02697
2009  5 10 23 45 0.00000 0.02119
2009  5 11  0  0 0.00000 0.01632
2009  5 11  0 15 0.00000 0.01144
2009  5 11  0 30 0.00000 0.00657
2009  5 11  0 45 0.00000 0.00169
2009  5 11  1  0 0.00000 0.00127
2009  5 11  1 15 0.00000 0.00085
2009  5 11  1 30 0.00000 0.00042
2009  5 11  1 45 0.00000 0.00000
2009  5 11  2  0 0.00000 0.00000
2009  5 11  2 15 0.00000 0.00000
2009  5 11  2 30 0.00000 0.00000
2009  5 11  2 45 0.00000 0.00000
2009  5 11  3  0 0.00000 0.00000
2009  5 11  3 15 0.00000 0.00000
2009  5 11  3 30 0.00000 0.00000
2009  5 11  3 45 0.00000 0.00000
2009  5 11  4  0 0.00000 0.00000
2009  5 11  4 15 0.00000 0.00000
2009  5 11  4 30 0.00000 0.00000
2009  5 11  4 45 0.00000 0.00000
2009  5 11  5  0 0.00000 0.00000
2009  5 11  5 15 0.00000 0.00000
2009  5 11  5 30 0.00000 0.00000
2009  5 11  5 45 0.00000 0.00000
2009  5 11  6  0 0.00000 0.00000
2009  5 11  6 15 0.00000 0.00000
2009  5 11  6 30 0.00000 0.00000
2009  5 11  6 45 0.00000 0.00000
2009  5 11  7  0 0.00000 0.00000
2009  5 11  7 15 0.00000 0.00000
2009  5 11  7 30 0.00000 0.00000
2009  5 11  7 45 0.00000 0.00000
2009  5 11  8  0 0.00000 0.00000
2009  5 11  8 15 0.00000 0.00000
2009  5 11  8 30 0.00000 0.00000
2009  5 11  8 45 0.00000 0.00000
2009  5 11  9  0 0.00000 0.00000
2009  5 11  9 15 0.00000 0.00000
2009  5 11  9 30 0.00000 0.00000
2009  5 11  9 45 0.00000 0.00000
2009  5 11 10  0 0.00000 0.00000
2009  5 11 10 15 0.00000 0.00000
2009  5 11 10 30 0.00000 0.00000
2009  5 11 10 45 0.00000 0.00000
2009  5 11 11  0 0.00000 0.00001
2009  5 11 11 15 0.00000 0.00002
2009  5 11 11 30 0.00000 0.00004
2009  5 11 11 45 0.00000 0.00005
2009  5 11 12  0 0.00000 0.00144
2009  5 11 12 15 0.00000 0.00282
2009  5 11 12 30 0.00000 0.00421
2009  5 11 12 45 0.00000 0.00560
2009  5 11 13  0 0.00000 0.00828
2009  5 11 13 15 0.00000 0.01096
2009  5 11 13 30 0.00000 0.01364
2009  5 11 13 45 0.00000 0.01633
2009  5 11 14  0 0.00000 0.02508
2009  5 11 14 15 0.00000 0.03384
2009  5 11 14 30 0.00000 0.04260
2009  5 11 14 45 0.00000 0.05135
